Kanda,Event_ID,Event_Name,Location,Characters_Involved,Detailed_Content
Prior_Context,CONTEXT_8,The Story of Amrita Manthan,N/A,,"The story of the Amrita Manthan is a popular Hindu myth that explains the origin of Amrita, the nectar of immortality. According to the myth, the gods and demons were once at war, and the gods were losing. To regain their strength and defeat the demons, they needed to obtain Amrita, the nectar of immortality. The gods and demons agreed to work together to churn the ocean of milk to extract the Amrita. They used Mount Mandara as the churning rod and Vasuki, the serpent king, as the rope. The gods held Vasuki's tail, and the demons held his head. As they churned the ocean, many treasures emerged, including the moon, the goddess Lakshmi, and the white elephant Airavata. Finally, Dhanvantari, the physician of the gods, emerged from the ocean with a pot of Amrita. The demons tried to steal the Amrita, but Vishnu intervened and took the form of Mohini, a beautiful enchantress. Mohini tricked the demons into giving her the Amrita, and she distributed it to the gods. However, one demon, Rahu, disguised himself as a god and drank the Amrita. The sun and moon gods noticed this and informed Vishnu, who cut off Rahu's head before he could swallow the Amrita. Rahu's head became the demon Rahu, and his body became Ketu. The gods were restored to full strength, and they defeated the demons. The story of the Amrita Manthan is a powerful metaphor for the eternal struggle between good and evil and the quest for immortality."
Prior_Context,CONTEXT_6,Origins Of River Ganga,N/A,," Once, Shri Ram asked Guru Vishwamitra about the story of the origin of the Ganga River. Vishwamitra explained that Shri Ram's ancestor, King Sagara, performed the Ashwamedha Yajna. During this ritual, a horse traveled through all the kingdoms unhindered. When the horse entered the celestial kingdom of Indra, he stopped it and took it away. King Sagara then sent his six thousand sons to find the horse. When they couldn't find it on the earth, they started digging deep into the ground. Thousands of feet below, they encountered Kapil Rishi, who stopped them and disrupted their meditation. In anger, the sage burnt them all with his gaze. Sagara instructed his sons' remains to be immersed in the water, but there was no water available. They needed to bring the Ganga River from heaven to earth. Sagara couldn't accomplish this because the rapid flow of the Ganga could have submerged the entire earth. Years later, King Bhagirath undertook penance for Lord Shiva. Shiva stopped the Ganga in his locks and slowly released it from Gomukh. When Ganga touched the ashes of King Sagara's sons, they attained salvation. That's why even today, ashes are immersed in the Ganga. Finally, Ganga fell into the pit dug by King Sagara's sons and transformed into the ocean. The ocean was named Sagara after King Sagara. This is how the efforts and penance of Shri Ram's ancestor, Bhagirath, brought the compassionate and liberating river Ganga from heaven to various parts of the country, including the Himalayas, and made it a life-giving and salvation-bestowing river."
Prior_Context,CONTEXT_5,Origins of Pinaka and Sharanga,N/A,rama,"The Sharanga is notable for its employment by a number of the Dashavatara, the avatars of Vishnu: Parashurama, Rama, and Krishna.[5] Rama carries the bow in his epic and is also mentioned to bear it in the Padma Purana.[6] The bow is offered to him by Parashurama, the previous incarnation of Vishnu. In the Ramayana, Parashurama, the Brahmin warrior who is famously the scourge of Kshatriyas, regales the tale of the bow. Vishvakarma creates the bows of Pinaka and Sharanga to settle the question of the superiority of the deities Vishnu and Shiva. Vishnu is victorious, and Shiva presents his bow to the king of Mithila. Vishnu's bow is passed down to Richika, who presented it to Jamadagni, Parashurama's father, the latter claiming it after his father's assassination. Parashurama challenges Rama to fight him if the latter is able to string the bow. When the prince achieves this, the warrior admits defeat and retires to his abode.In a legend also featured in the Padma Purana, a number of great sages debate regarding the deity most worthy of their obeisance. They dispatch Bhrigu to the abodes of first Shiva, then Brahma, and finally Vishnu. Bhrigu finds that Shiva is occupied sporting with Parvati, Brahma is filled with the aspect of rajas, and Vishnu lays on Shesha, his feet rubbed by his consort, Lakshmi. When a furious Bhrigu kicks Vishnu on his chest, the latter greets the sage with warmth and considers himself to be blessed by the touch of his feet. Bhrigu hails Vishnu as the holder of the Sharanga as he sings his praises.In some versions of Krishna's battle with Narakasura, his second queen consort, Satyabhama, takes his bow to slay the asura"
Prior_Context,CONTEXT_4,Feast at Muni Bhardwaj's Ashram,N/A,rama; bharata,"When the entire army of Bahrata came to rest at Muni Bhardwaj's ashram after a long journey to get lord Rama back to Ayodhya,muni Bhardwaj after meeting Bharata and Shatrughana told them that he will be hosting a feast for them and will be serving them with the best of the food and drinks he has. But the problem was that he had only one cow named Kamdhenu who was the only source of food and drinks for the entire ashram. He was worried about how he will be able to feed the entire army with just one cow. But then he remembered that he had a son named Shringi who was a great sage and had the power to create anything he wanted. He went to his son and asked him to create food and drinks for the entire army. Shringi agreed and created a feast for the entire army. The feast was so delicious that the entire army was amazed by the taste of the food and drinks. They all praised Muni Bhardwaj and his son Shringi for the delicious feast. Muni Bhardwaj was very happy to see the army enjoying the feast and thanked his son Shringi for creating such a delicious feast for the army. The feast was so delicious that the entire army was amazed by the taste of the food and drinks. They all praised Muni Bhardwaj and his son Shringi for the delicious feast. Muni Bhardwaj was very happy to see the army enjoying the feast and thanked his son Shringi for creating such a delicious feast for the army."
Prior_Context,CONTEXT_3,The Story of Shravana Kumar,N/A,rama; kaikeyi,"Shravan Kumar was a legendary figure known for his devotion to his parents. He was born to Gyanvanti (mother) and Shantanu (father). Both of them were blind hermits. Shravan took it upon himself to become their caregiver and provider. Shravan’s parents wished to visit Chardham. He was poor so he decided to carry his parents on a wooden palanquin to the pilgrim. He would ensure they were comfortable.One day, while carrying his parents to a pilgrimage site. Prince Dasharatha was out hunting in the forest of Ayodhya when he heard a sound near a lake. He shot an arrow (Shabdbhedi Baan) hoping to hit an animal but found that he had accidentally struck a teenage boy named Shravana who was carrying his sick and elderly parents on a sling. He came to the lake to collect water. With his dying breath, Shravana requested Dasharatha to take water to his parents and inform them of what happened.Shravana passed away due to his injuries, and when Dasharatha delivered the water and the news of his tragic mistake. Shravan’s parents could not bear the shock and died of grief. Despite acknowledging that it was an accident, they cursed Dasharatha with “Putrashoka,” which means grief due to the loss of a son. This curse came true when Dasharatha died without seeing his beloved son Rama, who was exiled at the order of his step-mother Queen Kaikeyi.The story highlights the tragic consequences of hasty actions and the importance of being mindful of one’s actions to avoid causing harm to others. It also illustrates the devastating impact of grief and loss on parents who have lost a child."
Prior_Context,CONTEXT_2,The Happenings in Ayodhya,N/A,rama; dasaratha; bharata; lakshmana; ravana,"Due to all the features and personality of lord Rama everyone suggested to make lord Rama the king of Ayodhya.Dasaratha readily agrees and starts the preparation. But during the process he forgot to call Kakei Naresh and mithila pati Janak in rush(it is believed that it was the doing of devatas (angels) since if  they were invited, Lord Rama would have never gone to exile and hence Ravana wouldn’t have had been defeated).In all the preparation maa Kaushalya (being happy) gifted all his dasi’s gifts. Manthara(dasi of maa Kakei) saw this and filled maa Kakei’s heart with poison and bad omens telling if lord Rama becomes the king Kaushalya maa will become more favourite to king Dasharatha and all her fame would be gone.Along with that her son Bharatha will have no great significance and history, and will be powerless. Kakei got jealous and afraid of this (she was earlier extremely happy and proud),she went to lord Dasaratha and reminded him of the 2 boons lord Dashratha offered when Kakei fought with lord Dasharatha in a war side by side ad also saved his life.In her 2 boons she uses first boon to make Bharatha as the king of Ayodhya rather than Rama and in her second boon she asked Dasharatha to send lord Rama for 14 years of exile. Every one was completely shocked by this and loathed Kakei with a burning passion. Lakshmana even suggested lord Rama to say no to this and being the oldest claim the throne himself. But we call our lord Ram “Maryadapuroshottam” for a reason!He refused this and said “Dharma is above everything”. Meanwhile Dasaratha himself was about to refuse Kakei’s demand of the boons but it was lord Rama  only who told his father that one cannot break his dharma. By doing this lord Dashratha would be breaking the dharma being followed by the Kshatriyas from ages. Hence The entire Ayodhya was drowning in sorrowness and for almost all the years of during lord Rama’s exile the city felt as if it was dead from within.This incident also depleted the health of king Dasaratha drastically.He remembered his early incident during his youth age of Shravan Kumar( another reference story) reminding him he too was cursed that he will die because of the loss of his son. He died that night making it even more saddening for the entire ayodhya. Meanwhile prior to the death of king Dashratha,Bharatha and Shatrughana weren't told of the lord Rama’s exile.But after Dasaratha's death they were called from Kakei Nagri.After being called they were told everything.Consumed by rage, Bharata unleashed a torrent of insults upon his mother, labeling her the epitome of greed and made her realise what a terrible mistake she has made! Shatrughan catches Manthara who was the root cause of all this and wanted to take her life away to give justice to their brother lord rama but Bharatha told him if we do so our elder brother would ever forgive us and may never even come back.Also Bharatha plans to go and bring his brother back and make everything back to normal and repairing the mistakes made and also tell them about the loss of their father."
Prior_Context,CONTEXT_1,Prior Context & Origins of Universe,N/A,vibhishana; ravana,"Lord Brahma initially formed the universe then formed water for the universe.He created 2 entities: Rakshasa (demons) (to protect it) and Yaksha (to pray it).In rakshasas (demons) there were 2 prominent and powerful brothers-> Heti and Praheti. While Praheti went to follow the path of dharma and went for meditation, Heti married Kaal’s sister Bhaya.They then had a son named Vidyut Kesha who married Balakantaka.Eventually the two had a baby but they left him unattended in a forest and (completely forgot about him). Luckily for the baby at that time lord Shiva and Parvati were travelling in their Pushpak Vimaan (an aircraft) and maa Parvati saw the baby crying.This made her heart melt due to which Lord Shiva gave him the boon to be eternal. Also Maa Parvati gave boon to all the female rakshasa (demons) that their sons will immediately become teenagers from now on. Due to this boon the rakshas became overpopulated. Also the baby that was given the boon to be eternal was named Sukesh. Sukesh eventually married Devvati and had 3 sons Malyavan,Mali and Sumali who married Sundari,Ketumati ad Vasudha respectively.After knowing about their father,they too praised lord brahma for years and eventually got the boon to become extremely powerful.They tortured not only devas (angels) but rakshasas (demons) as well.They went to God Vishwamitra and forcefully took the Lanka from him(asking him to build something similar as Devlok palace for the rakshasas as well).They also tried settling with other rakshas and grew stronger families within them and become so strong that their terror grew immensely.Due to this both devas and rakshasas went to lord Brahma for help who had to unfortunately refused their request since it was him who gave the boon at the first place.So they then went to lord Vishnu and he said yes to their request. When the brothers heard about it  they immediately went to attack the Devlok but found lord Vishnu in their path.An intense battle occurred but eventually Mali and Malyavan were killed through lord Vishnu’s Sudarshana chakra.Seeing this Sumali went to hide in patal lok for some time with his remaining family from the battle. At this point Lanka was taken back from the rakshasas (demons) and given to lord Kuber.Sumali had a daughter named Kaiksi .Looking at Kuber being so great at everything, he told Kaiksi to marry Rishi Pulatsa’s son Rishi Vishwa(Kuber’s father) and get children of her own so that they too will be powerful in future and will help getting rakshasa’s (demon’s) dominance back.Kaiksi obediently does what her father told but lord Vishwa knew the purpose she came up to him just by looking at her.He told Kaiksi that I will give grant your wish,but remember due to the bad intentions you came up with, they will all be of your kind(rakshasas).Hearing this Kaiksi begs him after which he says that our youngest child will be of my kind(Vibhishana). This is how the origin of the 4 siblings occur Dashgriva(later named as Ravana by lord Shiva himself), Kumbhakaran, Shurpanakha and Vibhishana(notice the last one is of humankind). Kaiksi then tells her sons to go and do tapasya to become even more powerful than their cousin Kuber."
Prior_Context,CONTEXT_7,Defeat of Rakshasa Tadaka,N/A,,"In the Rāmāyaṇa, Viśvāmitra tells Rāma and Lakṣmaṇa the story of Tāṭakā when they reach a forest inhabited by her. Viśvāmitra states that a yakṣa named Suketu had undertaken austerities to obtain children, and was given a daughter with the strength of a thousand elephants named Tāṭakā, but not a son. When she became of age, she was married to Sunda, and gave birth to a son named Mārīca. After Sunda is killed, Tāṭakā and Mārīca attack the seer Agastya, who curses Mārīca to become a rākṣasa and curses Tāṭakā to become an ugly man-eater. Driven mad by the curse, she roams the region where Agastya used to live.The Critical Edition of the Vālmīki Rāmāyaṇa does not mention many details of the previous narrative, but later commentators and recensions have more fleshed out versions of the story. According to three traditional commentaries on the Rāmāyaṇa, Sunda is killed due to a curse by Agastya, which Bhandare states gives proper cause for Tāṭakā's seemingly unwarranted attack on Agastya. The southern recensions of the epic state that Tāṭakā (prior to become a man-eater) tries to eat Agastya. An undated Malayālam script recension states that Taṭakā is smitten after seeing Agastya: stating that she proceeds to strip naked and run towards him singing with love. According to Goldman, this Malayālam script recension preserves an important part of the Tāṭakā legend that was suppressed in the Vālmīki Rāmāyaṇa.Viśvāmitra, after narrating Tāṭakā's past, instructs Rāma that he must kill Tāṭakā, and he should not have any compassion for her or disgust for killing a woman, and he recounts other occasions where unrighteous women were killed by moral men. Rāma agrees, stating the killing of Tāṭakā is uttamam 'an eminently justifiable action'. He twangs his bowstring, which attracts Tāṭakā to the scene. Rāma then states that he will not kill her on account of she being a woman, but vows to merely cut off her ears and nose and disposses her of her strength and lair. Tāṭakā then charges Rāma, who proceeds to shoot and kill her with a single arrow to the chest.Only in the southern recensions is the vow of Rāma cutting off Tāṭakā's ears and nose mentioned, and Rāma actually fulfils his vow in those recensions. The northern recensions neither mention the vow or its fulfillment, which leads Goldman to believe that the verses mentioning it are dubious."
Bala Kanda,BALA_22,Bharata and Shatrughna Visit their Grandfather,Kaikayinagri,shatrughna; bharata,After sometime Bharatha and Shatrughan go to their grandfather’s place
Bala Kanda,BALA_21,Lord Parashurama's Challenge and Journey to Ayodhya,Mithilatoayodhya,rama,Lord Parashuram angry with the breaking of the Lord Shiva’s bow challenged lord Rama to be able to use the bow of lord Vishnu(REFERENCE STORY OF LORD SHIVA AND VISHNUS BOWS).Lord rama(being Vishnu avatar) was successfully able to do so and humbled lord Parashurama. They then continued their journey back to Ayodhya
Bala Kanda,BALA_20,Marriage of the Four Brothers,Sakansyanagri,,king was invited (brother of Janka) who proposed why not marry all 4 brothers in the same family.Lord Dashrathe was invited who brought the entire Nagri for the marriage. All the 4 brothers got married
Bala Kanda,BALA_19,Sita's Swayamvara and Breaking of Shiva's Bow,Mithila,rama; janaka; sita,Here Lord rama was challenged to tie knot to the bow of lord shiva since whoever would do so Mithilaraja Janaka would marry his daughter to him. Many failed to even pick up the bow but lord Rama not only picked it up but during the process broke the bow as well.
Bala Kanda,BALA_18,Amrit Manthan and the City of Vishala,Vishala,,Here Vishwakarma told the two brothers about the story Amrit manthan(can see in the reference stories) and about Vishala(Place)
Bala Kanda,BALA_17,Origins of the Ganga River,Gangatatta,rama; janaka,"After the yagya Vishwamitra had to go to Mithila to participate in king Janaka’s sacrifice, while going through they went through multiple places. Here lord Rama was told about the origins of Ganga.(Can see in the reference stories section)"
Bala Kanda,BALA_16,Protection of the Yagya and Defeat of Subahu,Vishwamitraashram,rama; maricha,"The yagya took place here(where lord Vishu’s Vamana avatar had also stayed). When Maricha ad Subaru came to disturb it ,Rama and Lakshmaa killed Subaru and severely injured Marciha using the Manavastra,Agrastra and Vayavya Astra"
Bala Kanda,BALA_1,Origin of Lanka and Rule of Kubera,Lanka,,"Formed by lord Vishwakarma but was eventually taken by Mali, Sumali and Malyavan which were the overthrown by lord Kuber (by the Grace of Lord Vishnu)"
Bala Kanda,BALA_14,Story of Ganga,Sarivariver and anga river merging point,rama; lakshmana,Vishwakarma told Rama and Lakshmana the story of the origin of Maa Ganga(Can see in the reference stories section).They stayed in an Ashram where lord Shiva once did tapasya
Bala Kanda,BALA_2,"Ravana, Vibhishana, and Kumbhakarna's Boons",Gokarna,kumbhakarna; vibhishana; ravana,"Ravana, Vibhishana, and Kumbhakarna underwent a rigorous ten-year penance to please Lord Brahma and seek divine boons. Ravana's ambitious plea for immortality was denied, but he was granted invincibility against celestial beings, divine birds, serpents, spirits, demons, and giants. Additionally, he acquired the power to shapeshift. In contrast, Vibhishana's humble wish to adhere to the path of righteousness impressed Brahma. As a reward, he bestowed upon Vibhishana the knowledge of the Brahmastra and the Amritvani.Anticipating Kumbhakarna's potential for misuse of power, Brahma enlisted Saraswati's aid. Under her influence, Kumbhakarna inadvertently requested the ability to sleep for extended periods. Despite initial annoyance, Ravana recognized the strategic advantage of having such a formidable warrior, albeit one who would be incapacitated for significant durations. "
Bala Kanda,BALA_3,Ravana Reclaims Lanka,Lanka,ravana,"After learning of his grandson's boon, Sumali emerged from hiding. He manipulated Ravana, fueling his arrogance and cruelty, and aided him in reclaiming Lanka."
Bala Kanda,BALA_4,Marriages of Ravana and his Brothers,Lanka,kumbhakarna; mandodari; surpanakha; ravana; vibhishana,"Marriage of all the 4 cousins Vidyut Jihva with surpanakha,Ravana with Mandodari,Kumbhakarna with Vajrajwala and Vibhishana with Sarama"
Bala Kanda,BALA_5,Ravana Defeats Kubera,Kailash,ravana,"After Ravana's arrogance grew, he attacked Kubera and defeated him, seizing his Pushpaka Vimana."
Bala Kanda,BALA_6,Ravana Attempts to Lift Mount Kailash,Kailash,ravana,"As Ravana flew past Kailash on his Pushpaka Vimana, Nandi, Lord Shiva's sacred bull, intercepted him. Nandi informed Ravana that Lord Shiva and Parvati were currently residing there and requested him not to disturb them. Ignoring Nandi's warning, Ravana attempted to lift the entire Mount Kailash. However, Lord Shiva effortlessly pressed down on the mountain with his toe, crushing Ravana's hand in the process."
Bala Kanda,BALA_8,Ravana's Conquests and Curse,Ayodhya,surpanakha; ravana,"After defeating yama lok ,patal lok ,killing surpanakha's husband in the battle in Kalki,Lord Varuna (Samudra Swami),and to some extent dev lok(where ravanas son Meghnada captured lord Indra(hence was known as Indrajeet)who was later freed by lord Brahma)(CAN CHECK BRIEF DESCRIPTIONS OF THESE BATTLES IN THE RELATED STORIES SECTION),ravana defeated kshatriya king Aranya who eventually cursed Ravana that someone from his(kshatriya) Vansha will only kill him"
Bala Kanda,BALA_7,Ravana Gains his Name,Kailash,ravana,"After being in pain for days due to his hands stuck beneath kailash,Dash Griva prayed lord shiva for an year for mercy.lord shiva eventually forgave him but due to his crying (rodan) named Dashgriva as Ravana."
Bala Kanda,BALA_9,Marriage of Shanta and Shringirishi,Angadesh,,Current kshatriya king Dasharath’s daughter(who was the adopted by Kind Rompada) Shanta was married to Shringirishi(son of Rishi Vibhandaka and a hirani)(CAN SEE THE STORY OF SHRINGIRISHI IN RELATED STORIES)
Bala Kanda,BALA_10,Putrakameshti Yagna and Birth of Sons,Sarivariver(northern bay),sumitra; kaikeyi,"To ensure King Dasharatha was blessed with sons, Sage Shringi conducted both the Ashwamedha Yagna and the Putreshti Yagna. The rituals resulted in a sacred offering of kheer (rice pudding). King Dasharatha divided the kheer amongst his three favored wives: Sumitra received two spoons, while Kaushalya and Kaikeyi each received one."
Bala Kanda,BALA_11,"Birth of Rama, Lakshmana, Bharata, and Shatrughna",Ayodhya,rama; lakshmana; shatrughna; bharata,"Birth of Lord Rama, Lakshaman, Shatrughan and Bharata took place"
Bala Kanda,BALA_12,Education and Vishwamitra's Request,Ayodhya,rama; maricha,Maharishi Vashishtha (Dashratha’s Purohit) taught the 4 brothers knowledge of everything. Vishwakarma came to ask for lord Rama and Lakshamana to kill Maricha and Subaru(2 rakshasas who have been destroying yagyas for quite some time)
Bala Kanda,BALA_13,Bala and Atibala Mantras,Sarivariver and anga river merging point,rama; lakshmana,Vishwakarma taught Rama and Lakshmana “Bala and Atibala Mantra”(made them tireless and gain immense amount of wisdom and knowledge)
Bala Kanda,BALA_15,Defeating Tadaka,Tadkaforest,,Defeated rakshasi Tadaka here(Reference stories)
Ayodhya Kanda,AYODHYA_14,Bharata Meets Gud and Learns of Rama's Jata,Ayodhya,rama; bharata,"Following the instructions from the locals, Bharata reached the kingdom of Gud. Misjudging Bharata and his army as enemies of Lord Rama, Gud believed they intended to kill Lord Rama, who was currently unprotected and alone. In the final moments, Gud realized that they were actually there to bring him back. It was at this point that Gud informed Bharata that Lord Rama had now become a jatadhari. Understanding this, Bharata realized it would be nearly impossible to bring Lord Rama back. Nevertheless, he insisted on trying and wanted to tell Rama about the loss of their father."
Ayodhya Kanda,AYODHYA_16,Reunion and Discussion on Dharma,Chitrakoot,rama; lakshmana; bharata,"Upon reaching Chitrakut, Lakshmana initially suspects that an army has been sent to kill Lord Rama. However, as soon as he sees the Kshatriya flag, he realizes the truth. Bharata finally finds Lord Rama and recounts everything that has occurred in Ayodhya. Both Lord Rama and Lakshmana grieve the loss of their father. Lord Rama explains the importance of Dharma and its significance in the universe, emphasizing why he cannot return. He then names Bharata as the new king of Ayodhya for the duration of his exile and asks him to return home."
Ayodhya Kanda,AYODHYA_15,Guidance from Muni Bhardwaj,Bharadwajaashram,rama; bharata,Reference story(how he handled to prepare food and host for the entire army).Muni Bhardwaj then tells Bharata about the location where lord Rama is nearby
Ayodhya Kanda,AYODHYA_13,Bharata Refuses the Throne,Ayodhya,rama; bharata,Bharatha refuses the title of the king and proposes to swap his position with lord Rama so that he can perform his xile meanwhile lord Rama can rule the kingdom
Ayodhya Kanda,AYODHYA_11,Reaching Valmiki Ashram and Commencing Exile,Valmiki ashram,rama; sita,"Lord Rama finally reaches Rishi Valmiki’s ashram,near which he finally decides to perform his exile for 14 years.Mother Sita then prayed in that land to make it pure and thanking it for its service.Till here as well a guptachar of Gud was following lord Rama and hence told Gud and Sumantha about the location and told him they were in a good place.Sumantha finally leaves for Ayodhya with this news"
Ayodhya Kanda,AYODHYA_10,Approaching Chitrakoot,Chitrakoot,rama,Lord rama finds a lot of pure Mahatma Munis there and knew he was getting close
Ayodhya Kanda,AYODHYA_9,Crossing the Yamuna River,River yamuna,rama,lord Rama crosses river Yamuna in search of the location told by Muni Bhardwaj
Ayodhya Kanda,AYODHYA_8,Seeking Guidance from Muni Bhardwaj,Munibardvajaashram,rama,Lord Rama greets muni Bhardwaj and asks him for a place where people won’t be able to find them and is peaceful.Muni bhardwaj tells him about the exact location in Chitrakut parvat(approx. 30 kos far) which is very pure.
Ayodhya Kanda,AYODHYA_7,First Night Outside Ayodhya,Vatsyadesh(border of pryag),lakshmana; sita,"The three of them then walked barefoot to Vatsyadesh, spending their first night outside Ayodhya. That night, Lord Lakshmana took the responsibility of protecting his brother and his sister-in-law, Sita, by staying awake all night."
Ayodhya Kanda,AYODHYA_6,Crossing the Ganga and Parting with Sumantha,Ganga river,rama,Lord Rama finally crosses Ganga river and now asked Sumantha to leave as well.
Ayodhya Kanda,AYODHYA_5,Arrival in Gud's Kingdom and Rama's Resolve,Kingdom of gud(in/near shangamirpur),rama; lakshmana; sita,"Lord Rama finally reached the kingdom of Gud, where he was extremely dear to his friend. Sumantha and the others pleaded with Lord Rama, Sita, and Lakshmana to return, expressing that they would be left heartbroken if they departed. However, this was the moment when Lord Rama fashioned his jata (“jatadhari”) from the milk of a badh. After doing this, everyone understood that Lord Rama had made his final decision and would not change it."
Ayodhya Kanda,AYODHYA_4,Reaching the Former Course of Ganga,Shanghamirpur,rama,Lord Rama reached where river Ganga used to flow
Ayodhya Kanda,AYODHYA_3,Southward Journey and Crossing Gomti River,Gomti river,,They turned towards the southern direction(towards Astha Rishi Dwara) and crossed the Gomti River
Ayodhya Kanda,AYODHYA_2,Final Farewell to Ayodhya,Vedshrutiriver,rama,"Before crossing the Vedshruti River and after passing several local villages, Lord Rama bids his final farewell to Ayodhya from above."
Ayodhya Kanda,AYODHYA_1,Rama Leaves Ayodhya at Dawn,Tamsariver,rama,"(NOTE: Kindly review the 'Happenings at Ayodhya'from Reference Stories before proceeding).The entire city of Ayodhya followed Lord Rama wherever he went. Since he couldn't bear to see them like this, he instructed Sumantha to cross the river early in the morning so the people of Ayodhya wouldn't be able to follow him. He also told Sumantha to take a path that would confuse them about where he had actually gone."
Ayodhya Kanda,AYODHYA_12,Events in Ayodhya,Ayodhya,,Meanwhile a lot of things happened in Ayodhya(Reference stories)
Aranya Kanda,ARANYA_14,Encounter wiht Shabari,Rishyamukhaparvat,rama; lakshmana; shabari,rama and lakshmana meet shabari an elderly ascetic woman who offers them hospitality
Aranya Kanda,ARANYA_15,Hanuman's Introduction,Kishkindha,rama; hanuman,hanuman the mighty monkey warrior and devotee of lord rama is introduced in aryanakanda
Aranya Kanda,ARANYA_13,Rama's Search for Sita,Pampariver,rama; lakshmana; sita,"rama and lakshmana upon their return discover sita's abduction,  they began their search for sita crossing the pampa river"
Aranya Kanda,ARANYA_11,Abduction of Sita,Panchavati,rama; lakshmana; ravana; sita,"ravana the demon king, disguied as a mendicant, abducts sita in the absence of rama and lakshmana"
Aranya Kanda,ARANYA_10,Janasthana,Janasthana,rama,rama defeats khara and his demon army in the vicinity of janasthana
Aranya Kanda,ARANYA_9,Surpanakhas Revenge,Dandakaforest,surpanakha; ravana; sita,"surpanakha seeks revenge and approaches ravana, describing the beauty of sita and instigating him to abduct her"
Aranya Kanda,ARANYA_1,"Arrival of Rama,Sita and Laskshmana",Dandakaforest,rama; sage vishwamitra; sita,they accompanied by sage vishwamitra who seeks rama's help in protecting his yajna (sacrificial ritual) from demons
